1398,4,2016-05-03,3,1,22.5,11,NULL,55,NULL,NULL,NULL,NULL
1483,4,2016-05-03,3,2,22.5,11,NULL,55,NULL,NULL,NULL,NULL
1533,4,2016-05-03,3,3,17,7,NULL,58,NULL,NULL,NULL,NULL
1583,4,2016-05-03,3,4,21.5,9,NULL,52,NULL,NULL,NULL,NULL
416,2,2016-05-03,4,1,22,10,-11.545454545454545,NULL,NULL,-9,NULL,NULL
426,2,2016-05-03,4,2,22,12,-8.363636363636363,NULL,NULL,-8.857142857142858,NULL,NULL
436,2,2016-05-03,4,3,17,8,-12.909090909090908,NULL,NULL,-8.428571428571429,NULL,NULL
446,2,2016-05-03,4,4,21,10,-13.181818181818182,NULL,NULL,-9.714285714285714,NULL,NULL
411,3,2016-05-03,4,1,23,14,-9.090909090909092,56,NULL,-5.357142857142857,5.222222222222222,NULL
421,3,2016-05-03,4,2,24,13,-8.181818181818182,54,NULL,-5.428571428571429,8.333333333333334,NULL
431,3,2016-05-03,4,3,19,8,-13.181818181818182,56,NULL,-6.428571428571429,16.333333333333332,NULL
441,3,2016-05-03,4,4,23,11,-12.909090909090908,45,NULL,-7.571428571428571,16,NULL
1399,4,2016-05-03,4,1,22.5,12,NULL,56,NULL,NULL,NULL,NULL
1484,4,2016-05-03,4,2,23,12.5,NULL,54,NULL,NULL,NULL,NULL
1534,4,2016-05-03,4,3,18,8,NULL,56,NULL,NULL,NULL,NULL
1584,4,2016-05-03,4,4,22,10.5,NULL,45,NULL,NULL,NULL,NULL
417,2,2016-05-03,5,1,22,11,-9,NULL,NULL,-7.142857142857143,NULL,NULL
427,2,2016-05-03,5,2,22,12,-9.818181818181818,NULL,NULL,-8.833333333333334,NULL,NULL
437,2,2016-05-03,5,3,18,8,-12.363636363636363,NULL,NULL,-9.714285714285714,NULL,NULL
447,2,2016-05-03,5,4,21,11,-9.636363636363637,NULL,NULL,-8.714285714285714,NULL,NULL
412,3,2016-05-03,5,1,22,15,-7.436363636363637,62,NULL,-3.3285714285714283,3.3333333333333335,NULL
422,3,2016-05-03,5,2,24,15,-6.909090909090909,62,NULL,-2.2857142857142856,13.722222222222221,NULL
432,3,2016-05-03,5,3,20,9,-12.818181818181818,59,NULL,-5.714285714285714,18.77777777777778,NULL
442,3,2016-05-03,5,4,24,12,-10.454545454545455,45,NULL,-6.142857142857143,11,NULL
1400,4,2016-05-03,5,1,22,13,NULL,62,NULL,NULL,NULL,NULL
1485,4,2016-05-03,5,2,23,13.5,NULL,62,NULL,NULL,NULL,NULL
1535,4,2016-05-03,5,3,19,8.5,NULL,59,NULL,NULL,NULL,NULL
1585,4,2016-05-03,5,4,22.5,11.5,NULL,45,NULL,NULL,NULL,NULL
473,2,2016-05-04,1,1,21,11,-1,NULL,NULL,-6,NULL,NULL
483,2,2016-05-04,1,2,19,9,-1,NULL,NULL,-9,NULL,NULL
493,2,2016-05-04,1,3,17,9,-2,NULL,NULL,-7,NULL,NULL
503,2,2016-05-04,1,4,18,7,-3,NULL,NULL,-11,NULL,NULL
468,3,2016-05-04,1,1,23,11,-8,53,NULL,-2,-10.666666666666666,NULL
478,3,2016-05-04,1,2,20,8,-2,51,NULL,-7,-0.3333333333333333,NULL
488,3,2016-05-04,1,3,18,7,-8,61,NULL,-6,7.333333333333333,NULL
498,3,2016-05-04,1,4,20,7,-5,49,NULL,-8,-2,NULL
1401,4,2016-05-04,1,1,22,11,NULL,53,NULL,NULL,NULL,NULL
1486,4,2016-05-04,1,2,19.5,8.5,NULL,51,NULL,NULL,NULL,NULL
1536,4,2016-05-04,1,3,17.5,8,NULL,61,NULL,NULL,NULL,NULL
1586,4,2016-05-04,1,4,19,7,NULL,49,NULL,NULL,NULL,NULL
474,2,2016-05-04,2,1,23,8,-12.333333333333334,NULL,NULL,-10.5,NULL,NULL
484,2,2016-05-04,2,2,22,8,-13,NULL,NULL,-14,NULL,NULL
